iter	Passed	Remaining
176	413	1920
177	413	1910
178	414	1900
179	414	1890
180	415	1880
181	416	1870
182	416	1861
183	417	1851
184	418	1842
185	418	1832
186	419	1823
187	421	1820
188	422	1813
189	423	1805
190	424	1797
191	425	1789
192	425	1780
193	426	1771
194	427	1762
195	427	1754
196	428	1745
197	428	1737
198	429	1728
199	430	1720
200	430	1712
201	431	1704
202	432	1696
203	432	1688
204	433	1680
205	433	1672
206	434	1664
207	435	1658
208	436	1652
209	437	1644
210	437	1637
211	438	1630
212	439	1622
213	439	1615
214	440	1608
215	441	1601
216	441	1593
217	442	1586
218	442	1579
219	443	1572
220	444	1565
221	444	1558
222	445	1551
223	446	1545
224	446	1538
225	447	1531
226	447	1525
227	448	1518
228	449	1512
229	450	1507
230	451	1504
231	452	1498
232	453	1492
233	453	1486
234	454	1479
235	455	1473
236	455	1467
237	456	1461
238	457	1455
239	457	1449
240	458	1443
241	459	1437
242	459	1432
243	460	1426
244	460	1420
245	461	1414
246	462	1408
247	462	1403
248	463	1397
249	464	1392
250	465	1389
251	466	1384
252	467	1379
253	468	1374
254	468	1369
255	469	1364
256	474	1370
257	475	1366
258	475	1361
259	476	1356
260	477	1351
261	477	1346
262	478	1341
263	479	1336
264	480	1332
265	481	1327
266	481	1322
267	482	1318
268	483	1313
269	484	1308
270	485	1304
271	485	1299
272	486	1295
273	487	1290
274	487	1285
275	488	1280
276	488	1276
277	489	1271
278	490	1267
279	491	1262
280	491	1258
281	492	1253
282	493	1249
283	493	1245
284	495	1241
285	496	1238
286	497	1235
287	498	1231
288	499	1228
289	500	1225
290	501	1221
291	502	1218
292	503	1214
293	504	1211
294	505	1207
295	506	1203
296	506	1199
297	507	1196
298	508	1192
299	509	1188
300	510	1186
301	511	1182
302	512	1179
303	513	1175
304	514	1171
305	514	1167
306	515	1164
307	518	1164
308	519	1161
309	520	1158
310	521	1154
311	521	1151
312	522	1147
313	523	1143
314	526	1144
315	527	1141
316	528	1138
317	529	1135
318	530	1132
319	531	1129
320	532	1126
321	533	1123
322	535	1122
323	536	1119
324	537	1115
325	537	1112
326	538	1108
327	539	1105
328	541	1104
329	542	1100
330	543	1098
331	544	1095
332	545	1092
333	546	1089
334	547	1086
335	547	1082
336	548	1079
337	549	1076
338	550	1073
339	551	1069
340	551	1066
341	552	1063
342	553	1059
343	556	1062
344	558	1060
345	560	1058
346	562	1058
347	563	1056
348	564	1052
349	564	1049
350	565	1046
351	566	1042
352	567	1039
353	568	1037
354	571	1038
355	572	1036
356	573	1033
357	574	1030
358	575	1027
359	576	1024
360	576	1021
361	577	1017
362	578	1014
363	578	1011
364	579	1008
365	580	1004
366	580	1001
367	581	998
368	582	996
369	583	993
370	585	993
371	586	990
372	587	988
373	588	985
374	589	982
375	590	979
376	591	976
377	591	973
378	592	970
379	593	967
380	593	964
381	594	961
382	595	959
383	596	956
384	596	953
385	597	950
386	598	947
387	598	944
388	599	942
389	601	940
390	601	937
391	602	935
392	603	932
393	604	929
394	605	926
395	605	923
396	606	921
397	607	918
398	607	915
399	608	912
400	609	910
401	609	907
402	610	904
403	611	901
404	611	898
405	612	896
406	613	893
407	613	890
408	615	888
409	616	886
410	616	884
411	617	881
412	618	878
413	618	876
414	619	873
415	620	870
416	621	868
417	621	865
418	622	863
419	623	860
420	623	857
421	624	855
422	625	852
423	625	850
424	626	847
425	627	845
426	628	842
427	628	840
428	629	838
429	630	836
430	631	833
431	632	831
432	633	829
433	634	827
434	634	824
435	635	822
436	636	819
437	636	817
438	637	814
439	638	812
440	638	809
441	639	807
442	640	805
443	640	802
444	641	800
445	642	797
446	643	795
447	643	793
448	644	791
449	645	789
450	646	787
451	647	785
452	648	782
453	649	780
454	649	778
455	650	775
456	651	773
457	651	771
458	652	769
459	653	766
460	654	764
461	654	762
462	655	760
463	656	757
464	656	755
465	657	753
466	658	751
467	659	749
468	660	747
469	661	745
470	661	743
471	662	741
472	663	739
473	663	736
474	664	734
475	665	732
476	665	730
477	666	727
478	667	725
479	668	723
480	668	721
481	669	719
482	670	717
483	670	715
484	671	713
485	672	710
486	672	708
487	673	706
488	674	705
489	675	703
490	676	701
491	677	699
492	678	697
493	678	695
494	679	693
495	680	691
496	680	689
497	681	687
498	682	684
499	683	683
500	683	681
501	684	679
502	685	677
503	685	675
504	686	672
505	687	670
506	688	669
507	689	667
508	690	666
509	691	664
510	692	662
511	693	660
512	694	658
513	694	656
514	695	655
515	696	653
516	696	651
517	697	649
518	698	647
519	698	645
520	699	643
521	700	641
522	701	639
523	701	637
524	702	635
525	704	634
526	705	633
527	706	631
528	707	629
529	707	627
530	708	625
531	709	623
532	709	621
533	710	620
534	711	618
535	711	616
536	712	614
537	713	612
538	713	610
539	714	608
540	715	606
541	715	604
542	716	603
543	717	601
544	718	599
545	719	598
546	720	596
547	720	594
548	721	592
549	722	590
550	722	589
551	723	587
552	724	585
553	724	583
554	725	581
555	726	580
556	727	578
557	727	576
558	728	574
559	729	572
560	729	571
561	730	569
562	731	567
563	732	566
564	733	564
565	734	563
566	735	561
567	736	559
568	736	558
569	737	556
570	738	554
571	738	552
572	739	551
573	740	549
574	741	547
575	741	545
576	742	544
577	743	542
578	743	540
579	744	539
580	745	537
581	746	535
582	746	534
583	747	532
584	748	531
585	749	529
586	749	527
587	750	525
588	751	524
589	752	522
590	752	520
591	753	519
592	754	517
593	754	515
594	755	514
595	756	512
596	756	510
597	757	509
598	758	507
599	759	506
600	759	504
601	760	502
602	761	501
603	762	499
604	763	498
605	763	496
606	764	495
607	765	493
608	765	491
609	766	490
610	767	488
611	767	486
612	768	485
613	769	483
614	770	482
615	770	480
616	771	478
617	772	477
618	772	475
619	773	474
620	774	472
621	775	471
622	775	469
623	776	467
624	777	466
625	778	464
626	779	463
627	779	461
628	780	460
629	781	458
630	781	457
631	782	455
632	783	454
633	784	452
634	784	451
635	785	449
636	786	448
637	786	446
638	787	444
639	788	443
640	789	441
641	789	440
642	790	438
643	791	437
644	792	436
645	793	434
646	794	433
647	795	431
648	795	430
649	796	428
650	797	427
651	798	425
652	798	424
653	799	423
654	800	421
655	801	420
656	801	418
657	802	417
658	803	415
659	804	414
660	804	412
661	805	411
662	806	410
663	807	408
664	808	407
665	809	405
666	810	404
667	811	403
668	811	401
669	812	400
670	813	398
671	813	397
672	814	395
673	815	394
674	815	392
675	816	391
676	817	389
677	817	388
678	818	386
679	819	385
680	819	384
681	820	382
682	822	381
683	823	380
684	824	378
685	824	377
686	825	376
687	826	374
688	827	373
689	827	371
690	828	370
691	829	369
692	829	367
693	830	366
694	831	364
695	832	363
696	832	362
697	833	360
698	834	359
699	834	357
700	835	356
701	836	355
702	837	353
703	838	352
704	839	351
705	840	350
706	841	348
707	841	347
708	842	345
709	843	344
710	844	343
711	844	341
712	845	340
713	846	338
714	846	337
715	847	336
716	848	334
717	848	333
718	849	332
719	850	330
720	851	329
721	852	328
722	853	327
723	854	325
724	855	324
725	855	323
726	856	321
727	857	320
728	858	318
729	858	317
730	859	316
731	860	314
732	860	313
733	861	312
734	862	310
735	863	309
736	863	308
737	864	306
738	865	305
739	866	304
740	867	303
741	868	301
742	868	300
743	869	299
744	870	297
745	871	296
746	871	295
747	872	293
748	873	292
749	873	291
750	874	289
751	875	288
752	875	287
753	876	286
754	877	284
755	878	283
756	878	282
757	879	280
758	880	279
759	881	278
760	882	277
761	882	275
762	883	274
763	884	273
764	885	271
765	885	270
766	886	269
767	887	268
768	887	266
769	888	265
770	889	264
771	889	262
772	890	261
773	891	260
774	892	259
775	892	257
776	893	256
777	894	255
778	894	253
779	896	252
780	897	251
781	897	250
782	898	249
783	899	247
784	900	246
785	900	245
786	901	244
787	902	242
788	903	241
789	903	240
790	904	238
791	905	237
792	905	236
793	906	235
794	907	233
795	907	232
796	908	231
797	909	230
798	910	229
799	912	228
800	912	226
801	913	225
802	914	224
803	915	223
804	915	221
805	916	220
806	917	219
807	917	218
808	918	216
809	919	215
810	920	214
811	920	213
812	921	212
813	922	210
814	923	209
815	923	208
816	924	207
817	926	206
818	927	204
819	928	203
820	929	202
821	929	201
822	930	200
823	931	198
824	931	197
825	932	196
826	933	195
827	933	193
828	934	192
829	935	191
830	936	190
831	936	189
832	937	188
833	938	186
834	939	185
835	939	184
836	940	183
837	941	182
838	942	180
839	943	179
840	944	178
841	944	177
842	945	176
843	946	174
844	946	173
845	947	172
846	948	171
847	949	170
848	949	168
849	951	167
850	952	166
851	953	165
852	953	164
853	954	163
854	955	162
855	956	160
856	957	159
857	958	158
858	958	157
859	959	156
860	960	155
861	960	153
862	961	152
863	962	151
864	963	150
865	963	149
866	964	147
867	965	146
868	966	145
869	966	144
870	967	143
871	968	142
872	968	140
873	969	139
874	970	138
875	971	137
876	972	136
877	973	135
878	973	134
879	974	132
880	975	131
881	975	130
882	976	129
883	977	128
884	978	127
885	978	125
886	979	124
887	980	123
888	980	122
889	981	121
890	982	120
891	983	119
892	983	117
893	985	116
894	986	115
895	987	114
896	987	113
897	988	112
898	989	111
899	990	110
900	990	108
901	991	107
902	992	106
903	992	105
904	993	104
905	994	103
906	994	102
907	995	100
908	996	99
909	997	98
910	997	97
911	998	96
912	999	95
913	1000	94
914	1001	93
915	1002	91
916	1003	90
917	1004	89
918	1004	88
919	1005	87
920	1006	86
921	1006	85
922	1007	84
923	1008	82
924	1008	81
925	1009	80
926	1010	79
927	1011	78
928	1011	77
929	1012	76
930	1013	75
931	1013	73
932	1015	72
933	1016	71
934	1017	70
935	1018	69
936	1018	68
937	1019	67
938	1020	66
939	1020	65
940	1021	64
941	1022	62
942	1023	61
943	1023	60
944	1024	59
945	1025	58
946	1025	57
947	1026	56
948	1027	55
949	1028	54
950	1028	53
951	1030	51
952	1031	50
953	1032	49
954	1033	48
955	1033	47
956	1034	46
957	1035	45
958	1035	44
959	1036	43
960	1037	42
961	1038	41
962	1038	39
963	1039	38
964	1040	37
965	1040	36
966	1041	35
967	1042	34
968	1042	33
969	1043	32
970	1045	31
971	1045	30
972	1046	29
973	1047	27
974	1048	26
975	1048	25
976	1049	24
977	1050	23
978	1051	22
979	1052	21
980	1052	20
981	1053	19
982	1054	18
983	1054	17
984	1055	16
985	1056	14
986	1056	13
987	1057	12
988	1058	11
989	1059	10
990	1060	9
991	1060	8
992	1061	7
993	1062	6
994	1062	5
995	1063	4
996	1064	3
997	1065	2
998	1065	1
999	1066	0
